source,target,start,end
Patricia_Paes10,delucca,2018-07-24 14:48:41,2018-07-24 14:48:41
MarceloACoelho1,delucca,2018-07-24 14:48:33,2018-07-24 14:48:33
Patricia_Paes10,nadanovonofront,2018-07-24 14:48:23,2018-07-24 14:48:23
Patricia_Paes10,cyrusafa,2018-07-24 14:47:43,2018-07-24 14:47:43
cintiaml,cyrusafa,2018-07-24 14:47:40,2018-07-24 14:47:40
adilson22br,delucca,2018-07-24 14:47:34,2018-07-24 14:47:34
MrLumertz,cyrusafa,2018-07-24 14:47:32,2018-07-24 14:47:32
Patricia_Paes10,cyrusafa,2018-07-24 14:47:25,2018-07-24 14:47:25
aapaula_,cyrusafa,2018-07-24 14:47:12,2018-07-24 14:47:12
MarceloACoelho1,PatoCorporation,2018-07-24 14:47:10,2018-07-24 14:47:10
tobemafk,delucca,2018-07-24 14:47:01,2018-07-24 14:47:01
geleiap,delucca,2018-07-24 14:47:00,2018-07-24 14:47:00
betogoldenstein,delucca,2018-07-24 14:46:43,2018-07-24 14:46:43
JC__Perez,cyrusafa,2018-07-24 14:46:26,2018-07-24 14:46:26
da_biatriz,delucca,2018-07-24 14:46:15,2018-07-24 14:46:15
Patricia_Paes10,delucca,2018-07-24 14:45:44,2018-07-24 14:45:44
saidessamane,cyrusafa,2018-07-24 14:45:09,2018-07-24 14:45:09
bittjn,Frmarchetaria,2018-07-24 14:45:04,2018-07-24 14:45:04
aquarianablase,cyrusafa,2018-07-24 14:44:28,2018-07-24 14:44:28
Rangel_Lucia,cyrusafa,2018-07-24 14:44:25,2018-07-24 14:44:25
breno_bringel,cyrusafa,2018-07-24 14:43:33,2018-07-24 14:43:33
craudin_,cyrusafa,2018-07-24 14:43:30,2018-07-24 14:43:30
ma95sousa,cyrusafa,2018-07-24 14:42:58,2018-07-24 14:42:58
gremillys,cyrusafa,2018-07-24 14:42:44,2018-07-24 14:42:44
djwc5,delucca,2018-07-24 14:42:15,2018-07-24 14:42:15
MM2309,delucca,2018-07-24 14:42:06,2018-07-24 14:42:06
MBenete,delucca,2018-07-24 14:40:59,2018-07-24 14:40:59
Ahasuerus_I_,delucca,2018-07-24 14:40:30,2018-07-24 14:40:30
Prof_Romando,delucca,2018-07-24 14:39:39,2018-07-24 14:39:39
